,docname,Newspaper,Year,Beginning of Passage,keyword,End of Passage
11,13755_0.txt,"The Hillsdale standard (Hillsdale, Mich...)",1855,"of debear , the murderer . the jury brought in a verdict of murder in the first degreo . the prisoner was remanded to jail to await sentence . the sheriff started for the jail with the prisoner , surrounded by the military . a rush was made by the",mob,", when the military gare way , and debear was struck to the ground by a stone . the mob then fell upon him , pounded and mangled him , tied a rope to his heels , drew him through the streets for half a mile , and hung him"
12,13755_0.txt,"The Hillsdale standard (Hillsdale, Mich...)",1855,"prisoner was remanded to jail to await sentence . the sheriff started for the jail with the prisoner , surrounded by the military . a rush was made by the mob , when the military gare way , and debear was struck to the ground by a stone . the",mob,"then fell upon him , pounded and mangled him , tied a rope to his heels , drew him through the streets for half a mile , and hung him by the heels to the lime of a tree he remained hanging lifeless up to 6 p . m ."
13,13757_0.txt,"American Lancaster gazette (Lancaster, Ohio)",1856,"[ prairie ( edgar co . , ills . ) beacon . [ monroe was the man who was dragged from his cell by a",mob,"and hanged , at charleston , coles county , illinois , on friday last , because the day of his execution had been postponed , by the governor , ninety days . for"
14,13763_0.txt,"The Perrysburg journal (Perrysburg, Ohi...)",1859,"sr . louis , wednesday , july 20 , 1859 a dispatch received to- day from marshall , in this state , states that three negroes , who were on trial yesterday at that place for rape and murder , were at night taken forcibly from the jail by a",mob,", and two of them hung , and other burnt at the stake . the"
15,13764_0.txt,Cleveland morning leader (Cleveland [Ohio...),1859,"on the 24th ult wm s . thornhill of . troy . , , mo . , punished one of his negroes . the slave rushed upon his master and stabbed him to death with a large knife . he was put in jail , when a",mob,"collected , took the negro out , and lynched him by burning . in the fejee islands the nibals feast upon as well as roast their victims can- ."
16,13765_0.txt,"Chicago daily tribune (Chicago, Ill.) 1860-1864",1864,lynch law in california five men hanged by the,mob,". a correspondent of the san francisco democratic iress give a description of the lynching of five men at los angelas , by a mob . he says : when the prisoners had all been brought out , the committee started with its victims to the place of execution ,"
17,13765_0.txt,"Chicago daily tribune (Chicago, Ill.) 1860-1864",1864,"lynch law in california five men hanged by the mob . a correspondent of the san francisco democratic iress give a description of the lynching of five men at los angelas , by a",mob,". he says : when the prisoners had all been brought out , the committee started with its victims to the place of execution , in front of the jail , on the street . here the crowd packed densely around , the committee ranged itself in front of the"
18,13768_0.txt,"Red Wing sentinel (Red Wing, M.T. ...)",1861,"law supreme.- the mayor of mo bile , like the 500 mayor of savannah , has issued his proclamation , taking grounds against vigilence committees and the practice of",mob,"lynching , so much re sorted to in the south . this is a time- movement . if the cotton statesvi intended to set up a southern confed- eracy , their people must first discipline their minds to submit to law . without a greater respect for the law ,"
19,13768_0.txt,"Red Wing sentinel (Red Wing, M.T. ...)",1861,"cotton statesvi intended to set up a southern confed- eracy , their people must first discipline their minds to submit to law . without a greater respect for the law , they can establish no popular governinént at all the despotism of the sword will fol low the despotism the",mob,", and the people lose their liberty of through their"
20,13769_0.txt,Sunday dispatch (New York [N.Y.]) 1861-1863,1863,"the woods and then effected his pur pose . as soon as the news of the outrage became generally known , great excitement prevailed among her countrymen and threats of lynching were freely made , and finally about 6 p . m . . the crowds swelled into an unruly",mob,", and frantic with rum and passion rushed towards the jail , where the criminal was confined , shouting and yelling . they were met by father o'reilly , who be sought them to disperse , but in vain . about half past seven some of the more desperate ,"
21,13769_0.txt,Sunday dispatch (New York [N.Y.]) 1861-1863,1863,"yard , where he became the football of the maddened crowd , and was at last strung up by the neck to the limb of a tree . before the first door was broken in , the negro pleaded and begged to be taken out , and given to the",mob,"to be decently hung . after they got him into the yard . he screamed several times , and that was all that . was heard from him by those outside of the crowd . immediately about him . the poor girl is in a fair to recovery . way"
22,13774_0.txt,New York dispatch (New York [N.Y.]),1865,"twice , in the arm and leg . the moth r of the girls followed up the attack by string major a heavy blow with a hatchet upon the head . young burns and his mother were ar rested , and major was carried to his hous where a threatening",mob,"was only deterred from resorting to lynch law by the presence of a strong police force . major was formerly an engineer on the hudson river railroad , but had been discharged for misconduct . his son is said to be a notorious bounty jumper . young burns tried to"
23,13776_0.txt,"The Kenosha telegraph (Kenosha, Wis.)",1869,"the 19th regiment . yesterday morning they met upon the streets and some violent language passed between them . in the afternoon they met again , and spain went to his residence , procured his revolver , and shot britt dead . the murderer was at once arrested . a",mob,"soon ( 3 gathered , and threatened summary punishment . they were baulked for a time by the officers , who placed him in the office of the express company ; but they soon broke in , seized the wretched man , put a rope around his neck , dragged"
24,13776_0.txt,"The Kenosha telegraph (Kenosha, Wis.)",1869,"mitw the murder of britt , which was so summarily avenged , was certainly of a . most unprovoked and aggravated character , and the murderer was , to our personal knowledge , a man of infamous anteced- ents . but these facts can not justify the action of the",mob,. it is one of the most alarming of the times that the signs peo- of this country so often take it upon themselves to inflict punishment upon of fenders . it argues a disrespect for law and authority which is pregnant evii consequences.- sentinel . a with
25,13778_0.txt,"The Cheyenne daily leader (Cheyenne, Wyo.) 1870-1884",1879,"tragedy occurred at wrightsville . in southern illinois , night . chas . e . mcauliffe , a monday physican , invited his wife and her brother , mr . heavener , into his drug store , and after drinking with heavener shot him dead with a shot gun .",mob,of sixty hung the doctor to a limb a of a tree that night .
26,13781_0.txt,"Perrysburg journal. (Perrysburg, Woo...)",1873,"california affair . in lynching a california papers give the following particulars of the recent lynching of a notori . ous desperado who had for years been a terror to the community in which he re sided , and who had aided on several occasions in the execution by",mob-,"law of men suspected of crime : several days ago at salinas city , in monterey county , in this state , one tar- pey , an irishma , assaulted mrs . nicholson , a very respectable married woman , in her own house , and murdered her in a"
27,13781_0.txt,"Perrysburg journal. (Perrysburg, Woo...)",1873,"for his great crime . but little time was wasted in the cell . the men did not tell tarpey then that they meant to hang him , but said they intended taking him to salinas city , and the crowd were only pres . ent to prevent his being",mobbed,"on the way . but something in the cold , determined faces of the men told him that this was mere subterfuge . he knew what was up- knew that sheriff wasson was not there , and knew that if what they said was true , the jail and his"
28,13782_0.txt,"The Somerset herald (Somerset, Pa.)",1874,"we are constantly having accounts from the west and south of lynching affairs , and now this species of mur- der has broken out almost at our own door . on thursday night last , at martinsburg , west virginia , an organized",mob,"of about one hundred men broke open the jail docrs , seized , carried away , and hung a negro man under sentence of death for rape and murder no resistance was made by . the citizens , and apparently no steps are being taken to arrest the offend- be"
29,13789_0.txt,"The Kenosha telegraph (Kenosha, Wis.)",1880,"george scott , a half- breed indian and negro , was lynched at brazil , ind . , by",a party of,"masked men , who took him from the jail where he was confined outraging mrs . alli son , wife of his employer for ."
30,13789_0.txt,"The Kenosha telegraph (Kenosha, Wis.)",1880,"george scott , a half- breed indian and negro , was lynched at brazil , ind . , by a party of",masked,"men , who took him from the jail where he was confined outraging mrs . alli son , wife of his employer for ."
31,13789_0.txt,"The Kenosha telegraph (Kenosha, Wis.)",1880,"george scott , a half- breed indian and negro , was lynched at brazil , ind . , by a party of",masked men,", who took him from the jail where he was confined outraging mrs . alli son , wife of his employer for ."
32,13792_0.txt,"Huntsville gazette (Huntsville, Ala...)",1882,"colored , at chatham , va . ; al . weisinger and bill ludlow , at selma , ala . at south pueblo , colo . , w . t . phobus and j . w . merew , eminent horse- thieves , were taken from jail and hanged by",masked,"men . the vigilantes then rode to a ranch ten miles away , captured the the chastine bro brothers and an accom named owsby , and strung them up in the adjacent timber . it is stated that but of the gang is left as a sample , and a"
33,13792_0.txt,"Huntsville gazette (Huntsville, Ala...)",1882,"colored , at chatham , va . ; al . weisinger and bill ludlow , at selma , ala . at south pueblo , colo . , w . t . phobus and j . w . merew , eminent horse- thieves , were taken from jail and hanged by",masked men,". the vigilantes then rode to a ranch ten miles away , captured the the chastine bro brothers and an accom named owsby , and strung them up in the adjacent timber . it is stated that but of the gang is left as a sample , and a one"
34,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,,mob,"rule . particulars of the recent attack on the evansville ( ind . ) jall and the kriling of the murderer redman- one of the lynch ers killed and several others arrested redman's crime . evansville , ind . , october 11 . at ten minutes past two this morning"
35,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"to redman's cell , took him and put him in a buggy , and drove off with him . the first intelligence received by the officers was at ten minutes two o'clock , when the night turnkey , hatmacher , received a tele phone message from ullmer's brewery that a",masked,"mob had passed up the street on borseback . hatmacher immediately notifled newitt , who hastened to the jail . hatmacher , after notifying newitt , went to the sheerthable residence alarm . and deputies mauntel and martin and tom kerth jr . , were on the alert , prepared"
36,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"redman's cell , took him and put him in a buggy , and drove off with him . the first intelligence received by the officers was at ten minutes two o'clock , when the night turnkey , hatmacher , received a tele phone message from ullmer's brewery that a masked",mob,"had passed up the street on borseback . hatmacher immediately notifled newitt , who hastened to the jail . hatmacher , after notifying newitt , went to the sheerthable residence alarm . and deputies mauntel and martin and tom kerth jr . , were on the alert , prepared to"
37,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"soon arrived , and went into the clerk's office to telephone for assistance . he heard the clatter of the horses ' hoofs coming up the bowl dered streets , and hurried back into the jail . sheriff kerth was at the front door of the court- house when the",mob,"arrived . the mob dismounted , picketed their ani mals , left a guard to cover their retreat , and captured all the citizens who happened to be attracted to the scene , while a portion of the mob made a dive for the jail . kerth fired at them"
38,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"went into the clerk's office to telephone for assistance . he heard the clatter of the horses ' hoofs coming up the bowl dered streets , and hurried back into the jail . sheriff kerth was at the front door of the court- house when the mob arrived . the",mob,"dismounted , picketed their ani mals , left a guard to cover their retreat , and captured all the citizens who happened to be attracted to the scene , while a portion of the mob made a dive for the jail . kerth fired at them , but they did"
39,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"was at the front door of the court- house when the mob arrived . the mob dismounted , picketed their ani mals , left a guard to cover their retreat , and captured all the citizens who happened to be attracted to the scene , while a portion of the",mob,"made a dive for the jail . kerth fired at them , but they did not falter . they took him prisoner and were into the jail- yard in a jiffy.ited two blows were sufficient to break in the out side wooden door , and the mob was in the"
40,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"portion of the mob made a dive for the jail . kerth fired at them , but they did not falter . they took him prisoner and were into the jail- yard in a jiffy.ited two blows were sufficient to break in the out side wooden door , and the",mob,"was in the jail ball . newitt , martin and tom kerth , jr . , opened up a brisk fire , which was responded to by the mob , who poured a fusilade through the door . chisels and sledge- hammers were soon brought , and willing hands went"
41,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"the jail- yard in a jiffy.ited two blows were sufficient to break in the out side wooden door , and the mob was in the jail ball . newitt , martin and tom kerth , jr . , opened up a brisk fire , which was responded to by the",mob,", who poured a fusilade through the door . chisels and sledge- hammers were soon brought , and willing hands went to work , and in a twinkling the jail door was open . newitt ran back to redman's cell and said to him : "" i have done all"
42,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"said to him : "" i have done all i could for you ; they will get you ; "" and he replied , with an oath , that if they would give him a revolver he would kill some of them . when the jail door was opened the",mob,"rushed through the corridor to redman's cell , and in a minute it was opened and redman in their hands . they tied his hands with a strong rope and led him out . the officers all this time were trying to escape from jail and to get assistance so"
43,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"to redman's cell , and in a minute it was opened and redman in their hands . they tied his hands with a strong rope and led him out . the officers all this time were trying to escape from jail and to get assistance so as to capture the",mob,", or some of them . newitt managed to get into the sheriff's residence and run up stairs to the front window , which he opened and blew his whistle . then the mob fol ved him and threw him down stairs . when he got up the mob were"
44,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"time were trying to escape from jail and to get assistance so as to capture the mob , or some of them . newitt managed to get into the sheriff's residence and run up stairs to the front window , which he opened and blew his whistle . then the",mob,"fol ved him and threw him down stairs . when he got up the mob were bringing redman out of the front door . they were ordered to balt , when their leader replied : "" we are from posey county , and came after redman , and we are"
45,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"the mob , or some of them . newitt managed to get into the sheriff's residence and run up stairs to the front window , which he opened and blew his whistle . then the mob fol ved him and threw him down stairs . when he got up the",mob,"were bringing redman out of the front door . they were ordered to balt , when their leader replied : "" we are from posey county , and came after redman , and we are going to have him . "" an alarm of fire having been given out in"
46,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,": "" we are from posey county , and came after redman , and we are going to have him . "" an alarm of fire having been given out in the city , the chemical engine came rapidly up the street , and striking the buggy into which the",mob,"had placed redman , overturned it . this threw the mob into some disorder , when one of the leaders said : "" put him on horse back . "" this order was countermanded , and orders were given to kill him on the spot . one of the band"
47,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"redman , and we are going to have him . "" an alarm of fire having been given out in the city , the chemical engine came rapidly up the street , and striking the buggy into which the mob had placed redman , overturned it . this threw the",mob,"into some disorder , when one of the leaders said : "" put him on horse back . "" this order was countermanded , and orders were given to kill him on the spot . one of the band seized a sledge- hammer and dealt redman a powerful blow on"
48,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"were given to kill him on the spot . one of the band seized a sledge- hammer and dealt redman a powerful blow on the head , felling him to the ground . at this point chief- of- police pritchell ar . rived on the scene . one of the",mob,"ran up to him and said : "" go away from here , pritch ell ; we don't want to kill you , "" at the same time snapping a revolver in his face , but his hand was knocked up in the air before the weapon was discharged ."
49,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"the same time snapping a revolver in his face , but his hand was knocked up in the air before the weapon was discharged . by this time several officers were on the ground , who , without the orders of their superiors , opened fire on the rapidly- retreating",mob,". the mob fred as they retreated . they were well armed . a regular pitched battle was fought on third street . bulletts whistled in every direction . chief pritchell and detective newitt , who led the fight against them , made an effort to capture some of them"
50,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"snapping a revolver in his face , but his hand was knocked up in the air before the weapon was discharged . by this time several officers were on the ground , who , without the orders of their superiors , opened fire on the rapidly- retreating mob . the",mob,"fred as they retreated . they were well armed . a regular pitched battle was fought on third street . bulletts whistled in every direction . chief pritchell and detective newitt , who led the fight against them , made an effort to capture some of them , but the"
51,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"the ground to escape death . redman was killed where he was stricken down with the sledge- hammer . over two dozen balls entered his body . it was at this place that david murphy , a brother- in- law of the murdered woman , met his death . the",mob,"was so intent on killing redman that they fired helter- skelter through their own ranks . murphy was astride a gray horse , which started down third street with the remainder of the mob . when they left , a half square from the scene , murphy reeled and fell"
52,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"murphy , a brother- in- law of the murdered woman , met his death . the mob was so intent on killing redman that they fired helter- skelter through their own ranks . murphy was astride a gray horse , which started down third street with the remainder of the",mob,". when they left , a half square from the scene , murphy reeled and fell . pritchell and newitt hurried to his assistance . he was carried into the court house , and medical aid was summoned . the body of redman was conveyed to the court- house ,"
53,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,", and medical aid was summoned . the body of redman was conveyed to the court- house , but life was extinct . murphy asked for a drink of water , and said he resided in mt . vernon . in twenty minutes afterwards he was a corpse . the",mob,", on leaving the scene , separated , and done avoid the officers everything was to . in a short time after the occurrence , a young man , a stranger , approached the place where the bodies of murphy and redman were lying . chief pritchell arrested him ,"
54,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"vernon . he was locked up . chief pritchell also arrested a large , heavyset man , with black whiskers , but he was erward released . it was ascertained later in the day that this person was the leader . the description given answers for the leader of the",mob,"of saturday last at mt . vernon . dave mcfadden , a brother of the murdered woman , was shortly afterward arrested by detective merritt in young's saloon . newitt recognized him as the person who pointed a revolver at him in the jail and said : "" we are"
55,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"supposed that . while she was being beaten by the brute she managed to get away from him and started for the door , when he shot her down . she was about nineteen years of age . redman was arrested and placed in the mount vernon jail . a",mob,"was organized to hang him , and on of this the officials determined to take redman to evansville . when it was learned that he had been taken from the mount vernon jail to be sent off , a mob started for the depot after him , but the train"
56,13793_0.txt,"The Iola register (Iola, Allen Cou...)",1882,"arrested and placed in the mount vernon jail . a mob was organized to hang him , and on of this the officials determined to take redman to evansville . when it was learned that he had been taken from the mount vernon jail to be sent off , a",mob,"started for the depot after him , but the train pulled out just before they reached there . redman was released from the joliet ( ill . ) penitentiary about a year ago , having served out a sentence of years for shooting a man . eight"
57,13793_1.txt,"The Iola register (Iola, Allen Cou...)",1882,", keifer in the eighth , robinson in the ninth , mccormack in the eleventh , updegraff in the seven- teenth , and taylor in the nineteenth . the four other districts are very close . the democrats claim fifteen out of the twenty- one gressmen . three of the",mob,"that broke into the evans- ville , indiana , jail and took out redman , the wife murderer , were arrested . in the fight that took place the murderer was brained with a sledge- hammer and his body riddled with bullets . the member of the lynching party killed"
58,13793_1.txt,"The Iola register (Iola, Allen Cou...)",1882,"the union trust company has brought suit against the indianapolis journal for $ 50,000 damages for articles published against that organization . some nights since at the marriage of a daughter of mr . graesh , a well- known resident of lamine township , cooper county , mo . ,",a party of,"young men of the neighborhood concluded to charivari the bride and groom , when mr . graesh was shot in the heel by a gun going off accidentally , which one of the serenaders was carrying , from the effect of which he died . commissioner midgely , of the"
59,13793_1.txt,"The Iola register (Iola, Allen Cou...)",1882,"cents more . the tariff on lumber was reduced 5 cents . at fort fetterman , wyoming territory , j . h . capp shot and instantly killed r . r . elgin , bookkeeper for seabright bros . , and danger- ously wounded w . k . eagan .",a party of,"cowboys took capp from custody and lynched him . this was the second lynching in that county within three days , the crops of wheat sown from california grain in loo choo , japan , result so splendidly that large preparations are made for similar experiments in various parts of"
60,13793_1.txt,"The Iola register (Iola, Allen Cou...)",1882,"who had the advantage of his adversary by reason of his self possession , drew his revolver and fired at slayback , who fell mortally wounded , and gasped his last breath in a few minutes afterward . the affair caused the most intense excitement , and at one time",mob,violence seemed imminent . cockerill surrendered to the authorities the south . .
61,13793_2.txt,"The Iola register (Iola, Allen Cou...)",1882,"going down a steep grade on the mosquito extension of the south park rail- road , near alma , colo . , the flat car struck a anule , throwing the engine and car down an embankment . conductor jack bludsoe and two unknown men were instantly killed . a",mob,"at evansville , ind . , attacked the jail and forcibly carried off the wife murderer redmond , for the purpose of lynching him . officers fired on the mob and killed one man , but the others got off with the murderer . theodore finney , ten years of"
62,13793_2.txt,"The Iola register (Iola, Allen Cou...)",1882,"the engine and car down an embankment . conductor jack bludsoe and two unknown men were instantly killed . a mob at evansville , ind . , attacked the jail and forcibly carried off the wife murderer redmond , for the purpose of lynching him . officers fired on the",mob,"and killed one man , but the others got off with the murderer . theodore finney , ten years of age , killed himself recently at bellwood , neb . the boy was an insatiate devourer of blood and thunder literature . a . w . ross , member of"
63,13795_0.txt,Evening bulletin (Maysville [Ky.]),1882,"neal and craft . the governor will send a battalion of infantry and a of artillery to protect them during section their trial . special to the courier- journal . frankfort , oct . 25 . - war is lowering upon the reported organized",mob,"of east- ern kentucky . reports were received to night that loud threats were made against the prisoners , neal and craft , who , the mob says , shall be hung whether the soldiers become their escort or not . simultaneously with this report came judge brown's letter requesting"
64,13795_0.txt,Evening bulletin (Maysville [Ky.]),1882,"their trial . special to the courier- journal . frankfort , oct . 25 . - war is lowering upon the reported organized mob of east- ern kentucky . reports were received to night that loud threats were made against the prisoners , neal and craft , who , the",mob,"says , shall be hung whether the soldiers become their escort or not . simultaneously with this report came judge brown's letter requesting gov . blackburn to send the state guards . the judge says he is satisfied that harm will befall the prisoners unless the governor complies with his"
65,13798_0.txt,"The Portland daily press (Portland, Me.)",1883,"an alleged outrager lynched . detroit , june 15 . - a man named warner , believed to be the person who outraged little nettie lyons at checoygan tuesday night , was taken from the jail at that place fast night by a",mob,"and hung . the girl identified him as her assailant , but he maintained his inno , even after being once let down to see if cence a confession could be extorted from him ."
66,13798_2.txt,"The Portland daily press (Portland, Me.)",1883,"a negro murderer was taken from jail in rockford , ala . , yesterday by a",mob,"and bang ed . john radford of freemont , o . , was yester day sentenced to be hanged oct . 12th for the murder of his wife . the harper ligh license bill passed the illinois senate yesterday , 30 to 20 , and the governor signed the bill"
67,13799_0.txt,"The Portland daily press (Portland, Me.)",1883,"lynched . little rock , ark . , april 4 . - albert williams , a negro boy , who outraged a little daughter col . haskew , saturday , was taken from the of officers to- day by a",mob,and hanged .
68,13799_1.txt,"The Portland daily press (Portland, Me.)",1883,hanged by a,mob,". chicago , april 4 . - the journal's hastings , neb . special says : ingham and green , murderers of cash millett were hanged by a mob of 35 masked men last night . it is not known what was done with babcock the other derer . mur"
69,13799_1.txt,"The Portland daily press (Portland, Me.)",1883,"hanged by a mob . chicago , april 4 . - the journal's hastings , neb . special says : ingham and green , murderers of cash millett were hanged by a",mob,of 35 masked men last night . it is not known what was done with babcock the other derer . mur
70,13799_1.txt,"The Portland daily press (Portland, Me.)",1883,"hanged by a mob . chicago , april 4 . - the journal's hastings , neb . special says : ingham and green , murderers of cash millett were hanged by a mob of 35",masked,men last night . it is not known what was done with babcock the other derer . mur
71,13799_1.txt,"The Portland daily press (Portland, Me.)",1883,"hanged by a mob . chicago , april 4 . - the journal's hastings , neb . special says : ingham and green , murderers of cash millett were hanged by a mob of 35",masked men,last night . it is not known what was done with babcock the other derer . mur
72,13800_0.txt,"The Stark County Democrat (Canton, Ohio)",1883,a,mob,"of lynchers de feated . paola , kan . , feb . 12 . -- on wednesday night last week , at about 11 o'clock , maud bennings , a colored girl , 9 years old , was found lying upon the ground in the suburbs of this city ,"
73,13800_0.txt,"The Stark County Democrat (Canton, Ohio)",1883,". smith was arrested and taken to jail . the child's father , procuring a shotgun , followed and tried to shoot the flend , but was prevented by the bystand anders . at 11 o'clock on thursday night an excited crowd , chiefly of colored men , some in",masks,", gathered at the jail and demanded the prisoner . the sheriff had prepared for the emergency , and warned them away , but the clamorous throng pushed forward and forced open the door of the building . the sheriff struck the foremost man over the head then the mob"
74,13800_0.txt,"The Stark County Democrat (Canton, Ohio)",1883,"masks , gathered at the jail and demanded the prisoner . the sheriff had prepared for the emergency , and warned them away , but the clamorous throng pushed forward and forced open the door of the building . the sheriff struck the foremost man over the head then the",mob,"opened fire , to which the sheriff and his deputies replied , and a general fusillade ensued . the front windows and doors of the building were perforat heed with shot . ed . long , the sheriff's son , received a buckshot wound in the arm . james mcgraw"
75,13800_0.txt,"The Stark County Democrat (Canton, Ohio)",1883,"perforat heed with shot . ed . long , the sheriff's son , received a buckshot wound in the arm . james mcgraw , colored , was shot through the head and instantly killed . two other colored men received serious wounds . several others were slightly injured . the",mob,"then retreated , and , without further effort to obtain posses sion of the prisoner , dispersed . the sheriff was supported by three four in or"
76,13805_0.txt,"The news boy. (Benton, Scott C...)",1894,"negro brutes who assault white women has been effective only where the facts are far off and little known . ida lied about southern women , and was believed . we say again that the crime which ends in lynching in the south could not be committed in england without",mob,"violence at least trying to interfere with the regular process of law . and there they would have less excuse for mob law , the common law being both swift and sure . we are not in favor of lynching , but there are conditions prevailing throughout the south which"
77,13805_0.txt,"The news boy. (Benton, Scott C...)",1894,"about southern women , and was believed . we say again that the crime which ends in lynching in the south could not be committed in england without mob violence at least trying to interfere with the regular process of law . and there they would have less excuse for",mob,"law , the common law being both swift and sure . we are not in favor of lynching , but there are conditions prevailing throughout the south which it seems to be the only re in"
78,13806_1.txt,"The Atlanta constitution (Atlanta, Ga.)",1894,"lynching in pennsylvania . "" an escaped murderer recaptured and hanged to a tree by a",mob,". "" stroudsburg , pa . , march 15 . - richard puryear , who murdered christian ehelers near tannersville about a month ago , es caped from jail here this morning . a large crowd gathered , and puryear was caught in the cherry hollow woods . he fought"
79,13806_1.txt,"The Atlanta constitution (Atlanta, Ga.)",1894,"puryear , who murdered christian ehelers near tannersville about a month ago , es caped from jail here this morning . a large crowd gathered , and puryear was caught in the cherry hollow woods . he fought desperately , but was overpowered and taken to palmer's island by the",mob,". a rope was obtained , and the murderer hanged to a tree until dead ( by pennsylvania "" scoundrels . "" ) ' and , again , seven days later , i found the following "" :"
80,13807_3.txt,"The farmers' union. (Memphis, Mo.)",1894,attempted lynching . 21 .,mob,lynches and burns robert smith roanoke . at
81,13807_7.txt,"The farmers' union. (Memphis, Mo.)",1894,"february . 1 . severe storms in northwest . . . . negro ravisher burned at the stake at paris , texas , by a",mob,numbering thousands . . . . minister stevens establishes a protectorate by states over sandwich islands . united
82,13808_0.txt,"Birmingham age-herald (Birmingham, Ala...)",1894,,mob,"violence . several days ago two negroes who had been convicted of murder were lynched in bullock county , and the age- herald severely condemned the lawless act at the time . a similar outbreak of the mob spirit has just taken place near memphis . six negroes charged with"
