docname,Newspaper,Date,Beginning of Passage,keyword,End of Passage,Code,Comments
42_136,Xinhua General News Service,2023-01-29T00:00:00Z,It said the,vasectomy,"on the big cat was in line with its program of rescuing animals that are in distress , orphaned , and injured and which are kept in captive facilities for rehabilitation . "" Breeding is not permissible in captive facilities , and appropriate management interventions such as vasectomy are undertaken",NA,NA
37_166,Daily China News,2022-08-09T00:00:00Z,Section : SURGERY -,VASECTOMY,,NA,NA
37_171,Daily China News,2022-08-09T00:00:00Z,2022 AUG 09 ( NewsRx ) - - By a News Reporter-Staff News Editor at Daily China News - - New research on Surgery -,Vasectomy,"is the subject of a report . According to news reporting originating from Taiyuan , People's Republic of China , by NewsRx correspondents , research stated , "" To date , there is little information about the demography of vasectomy reversal ( VR ) patients or the factors currently influencing",NA,NA
37_172,Daily China News,2022-08-09T00:00:00Z,"rate . Appropriately statistical methods were used , and all of the protocols were approved by the Ethics Committees of the institutes in this research . The results showed that the annual operation volume of VR quadrupled after the two-child policy was implemented . Nonmicrosurgery and a long duration of",vasectomy,"were significantly associated with a lower patency rate . A follow-up survey showed that the general postoperative pregnancy rate was 27.2 % . For female partners over the age of 35 years , the postoperative pregnancy rate showed a more severe decline , but only 35.5 % of them had",NA,NA
37_174,Daily China News,2022-08-09T00:00:00Z,For more information on this research see :,Vasectomy,"reversal in China during the recent decade : insights from a multicenter retrospective investigation . Asian Journal of Andrology , 2022;0 ( 0 ) : 0 . Asian Journal of Andrology can be contacted at : Wolters Kluwer Medknow Publications , Wolters Kluwer India Pvt Ltd , A-202 , 2ND",NA,NA
37_178,Daily China News,2022-08-09T00:00:00Z,"Keywords for this news article include : Taiyuan , People's Republic of China , Asia , Asia , China , Health and Medicine , Male Urologic Surgical Procedures , Men's Health , Pediatrics , Surgery ,",Vasectomy,.,NA,NA
37_189,Daily China News,2022-08-09T00:00:00Z,Subject : SURGERY & TRANSPLANTATION ( 92 % ) ; INVESTIGATIONS ( 91 % ) ; EXPERIMENTATION & RESEARCH ( 90 % ) ; FAMILY PLANNING ( 90 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 90 % ) ; PREGNANCY & CHILDBIRTH ( 89 % ) ; HEALTH CARE INFORMATION ( 79 % ) ; DEMOGRAPHIC GROUPS ( 78 % ) ; ETHICS ( 78 % ) ; JOURNALISM ( 78 % ) ; NEWS REPORTING ( 78 % ) ; POLLS &,NA,NA
51_218,South China Morning Post,2000-07-22T00:00:00Z,"NEW YORK , Jan . 15 ( Xinhua ) - - A trend is growing across the United States with health experts predicting that more people will choose sterilization because of fears over restricted access to",reproductive,"health care during a second Trump administration , reported The Washington Post on Wednesday . Research showed a significant increase in vasectomies and tubal ligations in the months just before and after the Supreme Court ruled in Dobbs vs . Jackson Women's Health Organization , the 2022 decision that ended",NA,NA
51_226,South China Morning Post,2000-07-22T00:00:00Z,Subject : ADULTS ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; OBSTETRICS & GYNECOLOGY ( 90 % ) ; REPRODUCTIVE MEDICINE ( 90 % ) ; REPRODUCTIVE TECHNOLOGY ( 90 % ) ; SEXUAL & REPRODUCTIVE HEALTH ( 90 % ) ; SURGERY & TRANSPLANTATION ( 90 % ) ; TRENDS ( 90 % ),NA,NA
51_228,South China Morning Post,2000-07-22T00:00:00Z,Industry : HEALTH CARE ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; OBSTETRICS & GYNECOLOGY ( 90 % ) ; PRESS AGENCY RELEASES ( 90 % ) ; REPRODUCTIVE MEDICINE ( 90 % ) ; REPRODUCTIVE TECHNOLOGY ( 90 % ) ; HEALTH CARE ACCESS ( 78 % ) ; HEALTH CARE INFORMATION ( 78 %,NA,NA
57_251,South China Morning Post,2017-02-16T00:00:00Z,Indian men who agreed to have,vasectomies,in exchange for gun licences in a controversial family-planning scheme are complaining they were duped .,NA,NA
57_253,South China Morning Post,2017-02-16T00:00:00Z,"Health authorities in the central Indian state of Madhya Pradesh continue to offer the unusual deal in rural areas . The "" guns for",vasectomies,""" campaign was launched to great popularity in 2008 .",NA,NA
57_254,South China Morning Post,2017-02-16T00:00:00Z,"But many sterilised men say they are still waiting for their licences and complain the government appeared to be reneging on the deal . Roving """,vasectomy,"camps "" have been held across the country for several years as part of efforts to stabilise then reduce India's 1.15 billion population .",NA,NA
57_256,South China Morning Post,2017-02-16T00:00:00Z,""" My application for a licence did not meet with success , even after ten years . So , when I was assured I would get one within a few months I jumped at the offer and underwent a",vasectomy,in 2008 .,NA,NA
57_259,South China Morning Post,2017-02-16T00:00:00Z,"police found that those who are still waiting for the gun licences were not facing grievous threats to their life at all , or had criminal records . So they have been found ineligible for the licence , "" said the officer . "" It must be noted that the",vasectomy,"cannot guarantee getting a permit . """,NA,NA
57_263,South China Morning Post,2017-02-16T00:00:00Z,Health authorities in Madhya Pradesh have warned of stern action against its family planning employees if they fail to meet their annual,vasectomy,"targets in 2010-2011 fiscal year , which has been denoted the state's Family Planning Year .",NA,NA
57_267,South China Morning Post,2017-02-16T00:00:00Z,"The "" guns for",vasectomies,""" offer was also widened to include single men who manage to convince five married men to have the "" snip "" .",NA,NA
13_299,Xinhua General News Service,2013-07-10T00:00:00Z,"SYDNEY , July 10 ( Xinhua ) - - This October , bold Aussie men will prove that courage is not skin deep , family planning cuts both ways and saving the environment begins at home when they line up in public for the world's first """,vasectomy-athon,""" in October .",NA,NA
13_300,Xinhua General News Service,2013-07-10T00:00:00Z,"October 18 , 2013 will be the first World",Vasectomy,Day and in a quiet corner of Australia a very different kind of marathon will cut through the silence on male contraception .,NA,NA
13_302,Xinhua General News Service,2013-07-10T00:00:00Z,The mission to publically perform surgical,vasectomies,on a conga-line of Aussie men before a live audience at Adelaide's Royal Institution of Australia ( RiAus ) to launch the inaugural World Vasectomy Day .,NA,NA
13_304,Xinhua General News Service,2013-07-10T00:00:00Z,""" ( We will ) take",vasectomy,"out of the medical suite and into the homes of people who may never have considered vasectomy . "" He said .",NA,NA
13_306,Xinhua General News Service,2013-07-10T00:00:00Z,A,vasectomy,is a brief surgical procedure that effectively sterilizes a man .,NA,NA
13_308,Xinhua General News Service,2013-07-10T00:00:00Z,"According to Australia's office of Family Planning , the existing sperm are reabsorbed into the body over time with no ill effects , while the chances of pregnancy after having a",vasectomy,"are around one in 1,000 .",NA,NA
13_310,Xinhua General News Service,2013-07-10T00:00:00Z,World,Vasectomy,"Day is the creation of Oscar-nominated and Emmy Award-winning documentary filmmaker Jonathan Stack , who while setting out to tell his own story about getting a vasectomy , met legendary Florida-based vasectomist Dr Doug Stein and together , ended up making a film about population on the planet sensibly titled",NA,NA
13_313,Xinhua General News Service,2013-07-10T00:00:00Z,The goal is to raise global awareness of : the dangers an ever - increasing population has on the planet's finite resources ; and,vasectomy,as a viable solution to prevent unintended pregnancies .,NA,NA
13_316,Xinhua General News Service,2013-07-10T00:00:00Z,Australia has one of the highest uptake rates of,vasectomy,in the world and this trailblazing spirit led the producers to launch WVD in Australia to set the stage for the global conversation .,NA,NA
13_318,Xinhua General News Service,2013-07-10T00:00:00Z,"For several years , Australia has been something of the",vasectomy,capital of the world .,NA,NA
13_320,Xinhua General News Service,2013-07-10T00:00:00Z,A spokesman for the RiAus said the institution had solid interest from men wanting to be involved and was investigating the potential of hosting other,vasectomy-athons,across Australia .,NA,NA
13_321,Xinhua General News Service,2013-07-10T00:00:00Z,"Professor Paul Ehrlich author of The Population Bomb will lead discussions on the social , political , cultural and ethical issues raised by the event and Dr Stein's mission to save the planet , one",vasectomy,at a time .,NA,NA
13_323,Xinhua General News Service,2013-07-10T00:00:00Z,""" Can",vasectomies,"really make a difference ? Mine made a big difference in my life , and to this day , I consider it the single most important contribution I have personally made to the wellbeing of future generations , "" says Ehrlich .",NA,NA
13_331,Xinhua General News Service,2013-07-10T00:00:00Z,Subject : SURGERY & TRANSPLANTATION ( 91 % ) ; CONTRACEPTION ( 89 % ) ; FAMILY PLANNING ( 89 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 89 % ) ; NEWS REPORTING ( 89 % ) ; PREGNANCY & CHILDBIRTH ( 89 % ) ; ENTERTAINMENT & ARTS AWARDS ( 85 % ) ; FERTILITY & INFERTILITY ( 78 % ) ; MEN ( 78 % ) ; MEN'S HEALTH ( 78 % ),NA,NA
18_358,Global Times (China),2014-09-12T00:00:00Z,Men in Tianshui are recognized by their local government for undergoing No-Scalpel,Vasectomy,surgery . Photo : CFP,NA,NA
18_360,Global Times (China),2014-09-12T00:00:00Z,"Family Planning Commission . Some attribute this trend to the advanced development of female contraceptive devices , while others believe the divide reflects gender discrimination in Chinese society . Unbalanced numbersMale sterilization in China has dropped to 5.5 percent , a record-low despite the country pioneering the world's most advanced",vasectomy,"procedure , which is cheaper , safer and simpler than female ones , according to a 2013 report by the National Health and Family Planning Commission . Meanwhile , intra-uterine devices accounted for 53.7 percent of all contraceptive methods used in China in 2012 , said the report . According",NA,NA
29_402,South China Morning Post.com,2024-07-01T00:00:00Z,"The expenses included the "" thank you fee and nutrition fee "" for his",vasectomy,in 1990 .,NA,NA
29_409,South China Morning Post.com,2024-07-01T00:00:00Z,""" If he was a tiny bit more of a man , he would not ask his wife to contribute to his",vasectomy,", "" said another .",NA,NA
72_447,Xinhua General News Service,2019-09-30T00:00:00Z,,Vasectomy,"camps will be set up in New Delhi next week to encourage men to undergo sterilisation to curb the country's rising population , rekindling memories of one of the darkest chapters in modern Indian history .",NA,NA
72_448,Xinhua General News Service,2019-09-30T00:00:00Z,Authorities are establishing clinics in 10 hospitals in the hope that men will see the advantages of a,vasectomy,.,NA,NA
72_450,Xinhua General News Service,2019-09-30T00:00:00Z,""" Out of the 34,000 men who come to hospitals for contraceptive advice a year , only 2,000 opt for",vasectomy,", "" said Avinash Kaur Mehta of the Department of Family Welfare .",NA,NA
72_454,Xinhua General News Service,2019-09-30T00:00:00Z,""" We know that",vasectomy,camps are still viewed with suspicion . But we are trying to educate people so that it becomes more acceptable .,NA,NA
72_461,Xinhua General News Service,2019-09-30T00:00:00Z,Subject : GENDER BASED VIOLENCE ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; SURGERY & TRANSPLANTATION ( 90 % ) ; CONTRACEPTION ( 79 % ) ; MEN ( 78 % ) ; POPULATION GROWTH ( 78 % ) ; YOUTH CLUBS & ACTIVITIES ( 78 % ) ; GOVERNMENT BODIES & OFFICES ( 74 % ),NA,NA
72_463,Xinhua General News Service,2019-09-30T00:00:00Z,Industry : HOSPITALS ( 92 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; CONTRACEPTION ( 79 % ),NA,NA
30_486,South China Morning Post.com,2017-02-15T00:00:00Z,A health authority in southwest China is investigating claims that a man was forced to have a,vasectomy,"when he was visiting his home town during the Lunar New Year holiday , a newspaper reported .",NA,NA
30_491,South China Morning Post.com,2017-02-15T00:00:00Z,His family quoted police as saying that the man would have been placed in detention for 15 days for disturbing public order if he did not have the,vasectomy,.,NA,NA
30_493,South China Morning Post.com,2017-02-15T00:00:00Z,An official at the county publicity department told the newspaper the man broke the local,birth control,regulations by having three children in his first marriage and the need for the operation was supported by law .,NA,NA
30_495,South China Morning Post.com,2017-02-15T00:00:00Z,The newspaper quoted an expert as saying local regulations required couples who broke family regulations to use a proper,birth control,"method , but this should be done with the consent of the couple .",NA,NA
30_506,South China Morning Post.com,2017-02-15T00:00:00Z,"Subject : CHINESE NEW YEAR ( 90 % ) ; CRIME , LAW ENFORCEMENT & CORRECTIONS ( 90 % ) ; FAMILY PLANNING ( 90 % ) ; HUMAN",REPRODUCTIVE,STERILIZATION ( 90 % ) ; INVESTIGATIONS ( 90 % ) ; MARRIAGE ( 90 % ) ; SURGERY & TRANSPLANTATION ( 90 % ) ; CONTRACEPTION ( 78 % ) ; CRIMINAL INVESTIGATIONS ( 78 % ) ; GENDER BASED VIOLENCE ( 78 % ) ; REPRODUCTIVE HEALTH CLINICS,NA,NA
30_508,South China Morning Post.com,2017-02-15T00:00:00Z,Industry :,REPRODUCTIVE,HEALTH CLINICS ( 78 % ),NA,NA
68_535,South China Morning Post.com,2025-01-29T00:00:00Z,"To try to control their fast-growing population , authorities have this week placed big cages around the city with tantalizing fruits in them , hoping to lure around 300 monkeys for sterilization . From the cages , the monkeys are transfered to an operating table , where vets perform a",vasectomy,or a tubal ligation operation . They lay on their backs under a green cloth as vets perform a vasectomy or a tubal ligation operation . The sleeping monkeys get one night to recover before being taken back to their respective tribes .,NA,NA
59_573,Shenzhen Daily,2014-07-08T00:00:00Z,"Unscripted and unrehearsed , the two journalists research each episode's topic individually before coming together to chat about it in a way that manages to be interesting and entertaining but casual and relaxing as well . They tackle subjects such as Spam and",vasectomies,"- not in the same episode , thank goodness - and look at the science behind break-ups or if smiling makes you happy .",NA,NA
38_610,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_611,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_612,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_613,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_614,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_615,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_616,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
38_617,China Daily,2014-05-22T00:00:00Z,Family planning officials in Guangdong province are disputing reports that they force local women to have their fallopian tubes tied or their husbands to have a,vasectomy,after the couples ' second child is born .,NA,NA
27_654,Xinhua General News Service,2002-12-11T00:00:00Z,He attributed the shrinking gender prejudice on reproduction to the principle of sexual equality modern China has upheld since its foundation in 1949 and the country's technical breakthroughs in,birth control,surgery .,NA,NA
27_655,Xinhua General News Service,2002-12-11T00:00:00Z,There are usually six,birth control,"methods available for people of child-bearing age to choose from , which include tying the fallopian tubes , vasectomy , intrauterine devices , oral contraceptives , condoms and other contraceptives .",NA,NA
27_656,Xinhua General News Service,2002-12-11T00:00:00Z,"Of those , the no-scapel",vasectomy,"technique invented by Chinese doctor Li Shunqiang in the 1980s has become widely accepted in the United States , Thailand and Mexico for its simplicity , efficiency and fewer side effects . World Health Organization interim figures show that nearly half of the world's operations for male sterilization have been",NA,NA
27_658,Xinhua General News Service,2002-12-11T00:00:00Z,""" It's a global phenomenon that male contraceptive methods are used less than those for women , "" Liu said , adding the average worldwide rates for condom use and",vasectomies,have remained around five percent for years .,NA,NA
27_659,Xinhua General News Service,2002-12-11T00:00:00Z,"To combat such deep-rooted prejudice , the late Chinese Premier Zhou Enlai made a speech in 1963 , encouraging men to shoulder responsibilities in",birth control,and urging the Chinese people to make male participation an established practice .,NA,NA
27_660,Xinhua General News Service,2002-12-11T00:00:00Z,"It was not till 30 years later that the international community began , under pressure due to the fast spread of AIDS and the burgeoning women's rights movements , to embrace the concept of male participation which called for a balanced sexual relationship granting women equal rights on",reproductive,decisions .,NA,NA
27_661,Xinhua General News Service,2002-12-11T00:00:00Z,"Currently in China , male participation is not only confined to",birth control,but has spread to improvements in women's reproductive health .,NA,NA
27_664,Xinhua General News Service,2002-12-11T00:00:00Z,"To date , about 88 percent of villages and townships and 90 percent of counties in China have set up",reproductive,health centers open to not only women but also men and juveniles .,NA,NA
27_665,Xinhua General News Service,2002-12-11T00:00:00Z,"Wu Huiqin , director of the Xidi Town",Reproductive,"Health Center , said it was quite common in rural areas to see women visiting the center accompanied by their husbands .",NA,NA
27_666,Xinhua General News Service,2002-12-11T00:00:00Z,A number of men also called at the center to ask about,reproductive,"health issues , she said .",NA,NA
27_673,Xinhua General News Service,2002-12-11T00:00:00Z,Subject : CONTRACEPTION ( 91 % ) ; FAMILY PLANNING ( 90 % ) ; GENDER & SEX DISCRIMINATION ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; INFANTS & TODDLERS ( 90 % ) ; SURGERY & TRANSPLANTATION ( 90 % ) ; WOMEN ( 90 % ) ; FEMINISM & WOMEN'S RIGHTS ( 89 % ) ; GENDER EQUALITY ( 89 % ) ; INTERNATIONAL ORGANIZATIONS & BODIES ( 78,NA,NA
32_700,People's Daily Online - English,2022-04-06T00:00:00Z,"BEIJING , April 6 ( Xinhua ) - - Chinese scientists have developed a potential long-term",male contraception,technique that is reversible and noninvasive .,NA,NA
32_704,People's Daily Online - English,2022-04-06T00:00:00Z,"Nearly half of pregnancies worldwide are unintended mainly due to a failure of contraception , resulting in negative effects on women's health . The",male contraception,"techniques , primarily condoms and vasectomy , cannot be both highly effective and reversible at the same time .",NA,NA
21_747,Xinhua General News Service,2020-09-27T00:00:00Z,"and does not have a fever . "" This was the sixth operation that Bolsonaro has undergone since September 2018 , when he was stabbed in the stomach at an event during his presidential campaign . Four of the operations were linked to the stabbing and the last was a",vasectomy,"that took place in January . According to a government statement , the president is expected to participate in the launch of the Mining and Development Program on Monday at 5 : 00 p.m . local time ( 2100 GMT ) . Enditem",NA,NA
39_784,South China Morning Post,2008-03-18T00:00:00Z,,Vasectomy,"camps - regularly set up in many parts of the country as part of a solution to India's population explosion - often fail to meet their targets . Most men refuse to be sterilised , believing that the process strips them of their manliness .",NA,NA
39_787,South China Morning Post,2008-03-18T00:00:00Z,""" In fact , we never managed to meet even a quarter of the annual sterilisation target . But following a recent survey in which we found that most men did not want to undergo a",vasectomy,"because they did not want to ' lose their manliness ' , we adopted this new strategy . We decided to match it with a bigger symbol of manliness - a gun licence - and it has worked wonders . """,NA,NA
39_788,South China Morning Post,2008-03-18T00:00:00Z,"He said that last year only eight men came for sterilisation in the district . But since the scheme was announced , more than 200 men have undergone",vasectomy,"in the first 21 / 2 months of this year , and many others were waiting .",NA,NA
39_789,South China Morning Post,2008-03-18T00:00:00Z,"One official said : "" We explained that sterilisation did not affect male virility and many men were living happily after",vasectomy,", but nothing worked . But as soon as the offer of a gun licence was announced , people . . . began responding enthusiastically .",NA,NA
39_790,South China Morning Post,2008-03-18T00:00:00Z,""" It seems this year we shall get more men for",vasectomy,"than in the past 20 years . """,NA,NA
39_792,South China Morning Post,2008-03-18T00:00:00Z,"land try to buy guns because of necessity and also to flaunt the prized status symbol , "" Mr Srivastava said . "" Our scheme has struck such an appeal that even a good number of Muslims - who are traditionally against sterilisation - have come forward to undergo a",vasectomy,". """,NA,NA
39_802,South China Morning Post,2008-03-18T00:00:00Z,Subject : FAMILY PLANNING ( 90 % ) ; GUN CONTROL ( 90 % ) ; PUBLIC OFFICIALS ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 89 % ) ; WEAPONS & ARMS ( 89 % ) ; GOVERNMENT & PUBLIC ADMINISTRATION ( 79 % ) ; FIREARMS ( 78 % ) ; POLLS & SURVEYS ( 78 % ) ; POPULATION SIZE ( 76 % ) ; NEGATIVE MISC NEWS ( 69 %,NA,NA
14_877,Xinhua General News Service,2020-02-26T00:00:00Z,According to authorities the male baboon was headed to the hospital to undergo a,vasectomy,", while the two females were in attendance to calm his nerves while traveling . New South Wales ( NSW ) State Health Minister Brad Hazzard said when baboons arrived at the hospital , "" the lock on the vehicle failed "" and the animals made their escape . """,NA,NA
52_909,Xinhua General News Service,2025-01-16T00:00:00Z,"The study , conducted by researchers led by Dr . Carolyn Westhoff and Dr . Anne Davis of Columbia University , reported that 11 million women , or 18 percent , rely on either their partner's",vasectomy,or their own sterilization - - a figure that surprised the researchers .,NA,NA
52_911,Xinhua General News Service,2025-01-16T00:00:00Z,That compares to about 10 percent of women who currently use the,birth control,"pill , the researchers reported their findings in the journal Fertility and Sterility .",NA,NA
52_915,Xinhua General News Service,2025-01-16T00:00:00Z,They were also surprised to find that women are opting to have their tubes tied rather than relying on their partner's,vasectomy,", even though vasectomy is cheaper , quicker and safer .",NA,NA
52_924,Xinhua General News Service,2025-01-16T00:00:00Z,Subject : CONTRACEPTION ( 92 % ) ; RESEARCH REPORTS ( 92 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; POLLS & SURVEYS ( 90 % ) ; WOMEN ( 90 % ) ; MARRIAGE ( 89 % ) ; FERTILITY & INFERTILITY ( 78 % ) ; PHYSICIANS & SURGEONS ( 78 % ) ; DEMOGRAPHIC GROUPS ( 73 % ) ; OBSTETRICS,NA,NA
15_962,South China Morning Post,2021-11-05T00:00:00Z,""" We tried to persuade him to have a",vasectomy,", but he refused and said he wanted to have sons "" .",NA,NA
46_1002,South China Morning Post,2014-07-01T00:00:00Z,A LION at a zoo in the Netherlands has been given a,vasectomy,after he fathered five cubs last year .,NA,NA
46_1014,South China Morning Post,2014-07-01T00:00:00Z,He opted for a,vasectomy,instead of castration because the latter procedure would have caused Thor’s mane to fall out . His lack of testosterone after castration would have also seen Thor lose his place in the pride’s social hierarchy as a dominant male . ( SD-Agencies ),NA,NA
